Dataset,rank,model_name,mitigation_status,accuracy,f1_score,roc_auc,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,training_time,inference_time,total_score
Adult Income,1,xgboost_Tuned,unmitigated,0.8779813696386529,0.7217553688141923,0.9316766720322548,0.1500506072874494,0.2151100433309022,0.3389074693422519,0.5,0.014772891998291,0.8616388350729841
Adult Income,2,catboost_Tuned,unmitigated,0.8774695465247211,0.71973776633107,0.9309263703402356,0.1632085020242915,0.2121212121212121,0.3203371970495258,0.5,0.0120759010314941,0.8604049044483637
Adult Income,3,lightgbm_Tuned,unmitigated,0.8766506295424301,0.7191796783966441,0.9308989437930184,0.1728238866396761,0.2136942811789438,0.280295047418335,0.5,0.01519775390625,0.8565401538313495
Adult Income,4,decision_tree_Tuned,unmitigated,0.8615006653700481,0.6621722846441948,0.9042244250181222,0.1794028340080971,0.2038567493112947,0.2728205128205128,0.5,0.0101373195648193,0.8474468445688845
Adult Income,5,logistic_regression_Tuned,unmitigated,0.8448152318558706,0.633284954039671,0.8867616862704604,0.2486619090098126,0.2807798262343717,0.2588899966766367,0.5,0.0116326808929443,0.8093420519199402
Adult Income,6,random_forest_Mitigated,mitigated,0.8599651960282526,0.692860350246969,0.0,0.0609397026450837,0.1761395325254778,0.7786926588152221,1.0,0.05,0.7809177841313695
Adult Income,7,random_forest_Tuned,unmitigated,0.8674378134916573,0.6939257858662254,0.9180197480349296,0.1630240856378233,0.2249417249417249,0.3392090395480226,0.5,0.1707968711853027,0.7808620606964813
Adult Income,8,xgboost_Mitigated,mitigated,0.8721465861398301,0.7104103872014839,0.0,0.0452507933862489,0.2486755668573851,0.8163350150793427,1.0,0.05,0.7740906415736124
Adult Income,9,logistic_regression_Mitigated,mitigated,0.8421537516634251,0.6100151745068285,0.0,0.034804102186195,0.1748251748251748,0.8152705345501956,1.0,0.05,0.7729040658014255
Adult Income,10,RandomForest_Baseline,unmitigated,0.8552564233800799,0.6728366496992133,0.9026005316778636,0.139049955396967,0.0992795083704174,0.3873741095553918,5.956597328186035,0.2340686321258545,0.6781003259451276
Adult Income,11,RandomForest_Extended,unmitigated,0.8552564233800799,0.6728366496992133,0.9026005316778636,0.139049955396967,0.0992795083704174,0.3873741095553918,6.054721117019653,0.2336728572845459,0.6765105718131161
COMPAS,1,decision_tree_Tuned,unmitigated,0.6753036437246963,0.5945399393326593,0.7159185249031003,0.4555382215288611,0.629080118694362,0.0,0.5,0.0062072277069091,0.637842508836935
COMPAS,2,logistic_regression_Tuned,unmitigated,0.6923076923076923,0.6296296296296297,0.7339831212026673,0.5179407176287052,0.712166172106825,0.0,0.5,0.0029680728912353,0.6245388485911703
COMPAS,3,random_forest_Tuned,unmitigated,0.6995951417004048,0.6401551891367604,0.7360427363533972,0.5460218408736349,0.744807121661721,0.0,0.5,0.0120255947113037,0.5964404857061458
COMPAS,4,catboost_Tuned,unmitigated,0.7004048582995951,0.6442307692307693,0.7420946735549645,0.5413416536661466,1.0,0.0,0.5,0.0019221305847167,0.5684879071187792
COMPAS,5,RandomForest_Baseline,unmitigated,0.6354816354816355,0.5771704180064309,0.6693811232903288,0.2017505055611729,0.6111111111111112,0.599761800288347,1.3344168663024902,0.0348663330078125,0.518812351533427
COMPAS,6,lightgbm_Tuned,unmitigated,0.7101214574898785,0.6616257088846881,0.7386853362804249,0.8571428571428572,1.0,0.1428571428571428,0.5,0.0030477046966552,0.5067444839679479
COMPAS,7,xgboost_Tuned,unmitigated,0.7060728744939271,0.6552706552706553,0.7390885343683407,1.0,1.0,0.0,0.5,0.0046207904815673,0.4733610341826738
COMPAS,8,RandomForest_Extended,unmitigated,0.6388663967611335,0.5839552238805971,0.685714361254911,0.5304212168486739,0.685459940652819,0.0,1.1144177913665771,0.0321390628814697,0.4730444489560881
COMPAS,9,logistic_regression_Mitigated,mitigated,0.6793522267206478,0.6346863468634686,0.0,0.4414976599063963,1.0,0.0,1.0,0.05,0.3638111880545921
COMPAS,10,random_forest_Mitigated,mitigated,0.6720647773279352,0.5978152929493545,0.0,0.425531914893617,1.0,0.0,1.0,0.05,0.3611223207089118
COMPAS,11,xgboost_Mitigated,mitigated,0.6728744939271255,0.6130268199233716,0.0,0.4680851063829787,1.0,0.0,1.0,0.05,0.3545990089677596
